370,Match38,awayScores,1
371,TeamWales,isHomeTeam,Match39
372,TeamScotland,isAwayTeam,Match39
373,TeamWales,loserOf,Match39
374,TeamScotland,winnerOf,Match39
375,Match39,inTournament,TournamentBritishChampionship
376,Match39,inCity,CityWrexham
377,Match39,inCountry,CountryWales
378,Match39,isNeutral,FALSE
379,Match39,atYear,1885
380,Match39,homeScores,1
381,Match39,awayScores,8
382,TeamNorthernIreland,isHomeTeam,Match40
383,TeamWales,isAwayTeam,Match40
384,TeamNorthernIreland,loserOf,Match40
385,TeamWales,winnerOf,Match40
386,Match40,inTournament,TournamentBritishChampionship
387,Match40,inCity,CityBelfast
388,Match40,inCountry,CountryRepublicOfIreland
389,Match40,isNeutral,FALSE
390,Match40,atYear,1885
391,Match40,homeScores,2
392,Match40,awayScores,8
393,TeamUnitedStates,isHomeTeam,Match41
394,TeamCanada,isAwayTeam,Match41
395,TeamUnitedStates,loserOf,Match41
396,TeamCanada,winnerOf,Match41
397,Match41,inTournament,TournamentFriendly
398,Match41,inCity,CityNewark
399,Match41,inCountry,CountryUnitedStates
400,Match41,isNeutral,FALSE
401,Match41,atYear,1885
402,Match41,homeScores,0
403,Match41,awayScores,1
404,TeamWales,isHomeTeam,Match42
405,TeamNorthernIreland,isAwayTeam,Match42
406,TeamWales,winnerOf,Match42
407,TeamNorthernIreland,loserOf,Match42
408,Match42,inTournament,TournamentBritishChampionship
409,Match42,inCity,CityWrexham
410,Match42,inCountry,CountryWales
411,Match42,isNeutral,FALSE
412,Match42,atYear,1886
413,Match42,homeScores,5
414,Match42,awayScores,0
415,TeamNorthernIreland,isHomeTeam,Match43
416,TeamEngland,isAwayTeam,Match43
417,TeamNorthernIreland,loserOf,Match43
418,TeamEngland,winnerOf,Match43
419,Match43,inTournament,TournamentBritishChampionship
420,Match43,inCity,CityBelfast
421,Match43,inCountry,CountryRepublicOfIreland
422,Match43,isNeutral,FALSE
423,Match43,atYear,1886
424,Match43,homeScores,1
425,Match43,awayScores,6
426,TeamNorthernIreland,isHomeTeam,Match44
427,TeamScotland,isAwayTeam,Match44
428,TeamNorthernIreland,loserOf,Match44
429,TeamScotland,winnerOf,Match44
430,Match44,inTournament,TournamentBritishChampionship
431,Match44,inCity,CityBelfast
432,Match44,inCountry,CountryRepublicOfIreland
433,Match44,isNeutral,FALSE
434,Match44,atYear,1886
435,Match44,homeScores,2
436,Match44,awayScores,7
437,TeamScotland,isHomeTeam,Match45
438,TeamEngland,isAwayTeam,Match45
439,TeamScotland,draws,Match45
440,TeamEngland,draws,Match45
441,Match45,inTournament,TournamentBritishChampionship
442,Match45,inCity,CityGlasgow
443,Match45,inCountry,CountryScotland
444,Match45,isNeutral,FALSE
445,Match45,atYear,1886
446,Match45,homeScores,1
447,Match45,awayScores,1
448,TeamWales,isHomeTeam,Match46
449,TeamEngland,isAwayTeam,Match46
450,TeamWales,loserOf,Match46
451,TeamEngland,winnerOf,Match46
452,Match46,inTournament,TournamentBritishChampionship
453,Match46,inCity,CityWrexham
454,Match46,inCountry,CountryWales
455,Match46,isNeutral,FALSE
456,Match46,atYear,1886
457,Match46,homeScores,1
458,Match46,awayScores,3
459,TeamScotland,isHomeTeam,Match47
460,TeamWales,isAwayTeam,Match47
461,TeamScotland,winnerOf,Match47
462,TeamWales,loserOf,Match47
463,Match47,inTournament,TournamentBritishChampionship
464,Match47,inCity,CityGlasgow
465,Match47,inCountry,CountryScotland
466,Match47,isNeutral,FALSE
467,Match47,atYear,1886
468,Match47,homeScores,4
469,Match47,awayScores,1
470,TeamUnitedStates,isHomeTeam,Match48
471,TeamCanada,isAwayTeam,Match48
472,TeamUnitedStates,winnerOf,Match48
473,TeamCanada,loserOf,Match48
474,Match48,inTournament,TournamentFriendly
475,Match48,inCity,CityNewark
476,Match48,inCountry,CountryUnitedStates
477,Match48,isNeutral,FALSE
478,Match48,atYear,1886
479,Match48,homeScores,3
480,Match48,awayScores,2
481,TeamEngland,isHomeTeam,Match49
482,TeamNorthernIreland,isAwayTeam,Match49
483,TeamEngland,winnerOf,Match49
484,TeamNorthernIreland,loserOf,Match49
485,Match49,inTournament,TournamentBritishChampionship
486,Match49,inCity,CitySheffield
487,Match49,inCountry,CountryEngland
488,Match49,isNeutral,FALSE
489,Match49,atYear,1887
490,Match49,homeScores,7
491,Match49,awayScores,0
492,TeamScotland,isHomeTeam,Match50
493,TeamNorthernIreland,isAwayTeam,Match50
494,TeamScotland,winnerOf,Match50
495,TeamNorthernIreland,loserOf,Match50
496,Match50,inTournament,TournamentBritishChampionship
497,Match50,inCity,CityGlasgow
498,Match50,inCountry,CountryScotland
499,Match50,isNeutral,FALSE
500,Match50,atYear,1887
501,Match50,homeScores,4
502,Match50,awayScores,1
503,TeamEngland,isHomeTeam,Match51
504,TeamWales,isAwayTeam,Match51
505,TeamEngland,winnerOf,Match51
506,TeamWales,loserOf,Match51
507,Match51,inTournament,TournamentBritishChampionship
508,Match51,inCity,CityLondon
509,Match51,inCountry,CountryEngland
510,Match51,isNeutral,FALSE
511,Match51,atYear,1887
512,Match51,homeScores,4
513,Match51,awayScores,0
514,TeamNorthernIreland,isHomeTeam,Match52
515,TeamWales,isAwayTeam,Match52
516,TeamNorthernIreland,winnerOf,Match52
517,TeamWales,loserOf,Match52
518,Match52,inTournament,TournamentBritishChampionship
519,Match52,inCity,CityBelfast
520,Match52,inCountry,CountryRepublicOfIreland
521,Match52,isNeutral,FALSE
522,Match52,atYear,1887
523,Match52,homeScores,4
524,Match52,awayScores,1
525,TeamEngland,isHomeTeam,Match53
526,TeamScotland,isAwayTeam,Match53
527,TeamEngland,loserOf,Match53
528,TeamScotland,winnerOf,Match53
529,Match53,inTournament,TournamentBritishChampionship
530,Match53,inCity,CityBlackburn
531,Match53,inCountry,CountryEngland
532,Match53,isNeutral,FALSE
533,Match53,atYear,1887
534,Match53,homeScores,2
535,Match53,awayScores,3
536,TeamWales,isHomeTeam,Match54
537,TeamScotland,isAwayTeam,Match54
538,TeamWales,loserOf,Match54
539,TeamScotland,winnerOf,Match54
540,Match54,inTournament,TournamentBritishChampionship
541,Match54,inCity,CityWrexham
542,Match54,inCountry,CountryWales
543,Match54,isNeutral,FALSE
544,Match54,atYear,1887
545,Match54,homeScores,0
546,Match54,awayScores,2
547,TeamEngland,isHomeTeam,Match55
548,TeamWales,isAwayTeam,Match55
549,TeamEngland,winnerOf,Match55
550,TeamWales,loserOf,Match55
551,Match55,inTournament,TournamentBritishChampionship
552,Match55,inCity,CityCrewe
553,Match55,inCountry,CountryEngland
554,Match55,isNeutral,FALSE
555,Match55,atYear,1888
556,Match55,homeScores,5
557,Match55,awayScores,1
558,TeamWales,isHomeTeam,Match56
559,TeamNorthernIreland,isAwayTeam,Match56
560,TeamWales,winnerOf,Match56
561,TeamNorthernIreland,loserOf,Match56
562,Match56,inTournament,TournamentBritishChampionship
563,Match56,inCity,CityWrexham
564,Match56,inCountry,CountryWales
565,Match56,isNeutral,FALSE
566,Match56,atYear,1888
567,Match56,homeScores,11
568,Match56,awayScores,0
569,TeamScotland,isHomeTeam,Match57
570,TeamWales,isAwayTeam,Match57
571,TeamScotland,winnerOf,Match57
572,TeamWales,loserOf,Match57
573,Match57,inTournament,TournamentBritishChampionship
574,Match57,inCity,CityEdinburgh
575,Match57,inCountry,CountryScotland
576,Match57,isNeutral,FALSE
577,Match57,atYear,1888
578,Match57,homeScores,5
579,Match57,awayScores,1
580,TeamScotland,isHomeTeam,Match58
581,TeamEngland,isAwayTeam,Match58
582,TeamScotland,loserOf,Match58
583,TeamEngland,winnerOf,Match58
584,Match58,inTournament,TournamentBritishChampionship
585,Match58,inCity,CityGlasgow
586,Match58,inCountry,CountryScotland
587,Match58,isNeutral,FALSE
588,Match58,atYear,1888
589,Match58,homeScores,0
590,Match58,awayScores,5
591,TeamNorthernIreland,isHomeTeam,Match59
592,TeamScotland,isAwayTeam,Match59
593,TeamNorthernIreland,loserOf,Match59
594,TeamScotland,winnerOf,Match59
595,Match59,inTournament,TournamentBritishChampionship
596,Match59,inCity,CityBelfast
597,Match59,inCountry,CountryRepublicOfIreland
598,Match59,isNeutral,FALSE
599,Match59,atYear,1888
600,Match59,homeScores,2
601,Match59,awayScores,10
602,TeamNorthernIreland,isHomeTeam,Match60
603,TeamEngland,isAwayTeam,Match60
604,TeamNorthernIreland,loserOf,Match60
605,TeamEngland,winnerOf,Match60
606,Match60,inTournament,TournamentBritishChampionship
607,Match60,inCity,CityBelfast
608,Match60,inCountry,CountryRepublicOfIreland
609,Match60,isNeutral,FALSE
610,Match60,atYear,1888
611,Match60,homeScores,1
612,Match60,awayScores,5
613,TeamScotland,isHomeTeam,Match61
614,TeamCanada,isAwayTeam,Match61
615,TeamScotland,winnerOf,Match61
616,TeamCanada,loserOf,Match61
617,Match61,inTournament,TournamentFriendly
618,Match61,inCity,CityGlasgow
619,Match61,inCountry,CountryScotland
620,Match61,isNeutral,FALSE
621,Match61,atYear,1888
622,Match61,homeScores,4
623,Match61,awayScores,0
624,TeamEngland,isHomeTeam,Match62
625,TeamWales,isAwayTeam,Match62
626,TeamEngland,winnerOf,Match62
627,TeamWales,loserOf,Match62
628,Match62,inTournament,TournamentBritishChampionship
629,Match62,inCity,CityStoke-On-Trent
630,Match62,inCountry,CountryEngland
631,Match62,isNeutral,FALSE
632,Match62,atYear,1889
633,Match62,homeScores,4
634,Match62,awayScores,1
635,TeamEngland,isHomeTeam,Match63
636,TeamNorthernIreland,isAwayTeam,Match63
637,TeamEngland,winnerOf,Match63
638,TeamNorthernIreland,loserOf,Match63
639,Match63,inTournament,TournamentBritishChampionship
640,Match63,inCity,CityLiverpool
641,Match63,inCountry,CountryEngland
642,Match63,isNeutral,FALSE
643,Match63,atYear,1889
644,Match63,homeScores,6
645,Match63,awayScores,1
646,TeamScotland,isHomeTeam,Match64
647,TeamNorthernIreland,isAwayTeam,Match64
648,TeamScotland,winnerOf,Match64
649,TeamNorthernIreland,loserOf,Match64
650,Match64,inTournament,TournamentBritishChampionship
651,Match64,inCity,CityGlasgow
652,Match64,inCountry,CountryScotland
653,Match64,isNeutral,FALSE
654,Match64,atYear,1889
655,Match64,homeScores,7
656,Match64,awayScores,0
657,TeamEngland,isHomeTeam,Match65
658,TeamScotland,isAwayTeam,Match65
659,TeamEngland,loserOf,Match65
660,TeamScotland,winnerOf,Match65
661,Match65,inTournament,TournamentBritishChampionship
662,Match65,inCity,CityLondon
